date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986835707,1.0000000013571981,46303774477
2024-12-25,1.0,0.999999998486257,1.0000000015496886,46303774477
2024-12-26,1.0,0.9999999981155453,1.0000000022001296,46303774477
2024-12-27,1.0,0.9999999973292869,1.0000000032745242,46303774477
2024-12-28,1.0,0.9999999964397005,1.0000000047290545,46303774477
2024-12-29,1.0,0.9999999949946282,1.000000006599491,46303774477
2024-12-30,1.0,0.9999999935834147,1.0000000089783918,46303774477
2024-12-31,1.0,0.9999999917264476,1.0000000103520357,46303774477
2025-01-01,1.0,0.9999999897840316,1.000000012839664,46303774477
2025-01-02,1.0,0.9999999867121071,1.0000000154661655,46303774477
2025-01-03,1.0,0.9999999839826684,1.000000018272056,46303774477
2025-01-04,1.0,0.9999999822113994,1.0000000213166182,46303774477
2025-01-05,1.0,0.9999999792282509,1.0000000240084301,46303774477
2025-01-06,1.0,0.9999999759463772,1.0000000273638734,46303774477
2025-01-07,1.0,0.999999973301594,1.0000000292611093,46303774477
2025-01-08,1.0,0.999999970774351,1.0000000331092354,46303774477
2025-01-09,1.0,0.9999999673002233,1.000000036733208,46303774477
2025-01-10,1.0,0.9999999657594262,1.0000000401943203,46303774477
2025-01-11,1.0,0.9999999606117991,1.0000000451219815,46303774477
2025-01-12,1.0,0.9999999570981539,1.0000000500861368,46303774477
2025-01-13,1.0,0.9999999536472056,1.000000053394403,46303774477
2025-01-14,1.0,0.9999999504171546,1.0000000573259609,46303774477
2025-01-15,1.0,0.9999999462110783,1.000000060360986,46303774477
2025-01-16,1.0,0.9999999421330845,1.000000065686898,46303774477
2025-01-17,1.0,0.9999999381386349,1.0000000702560234,46303774477
2025-01-18,1.0,0.9999999349951523,1.0000000747261717,46303774477
2025-01-19,1.0,0.9999999305640571,1.0000000783410932,46303774477
2025-01-20,1.0,0.9999999278449901,1.0000000840852286,46303774477
2025-03-04,1.9999996656589085,1.9999996656575354,1.9999996656602428,46303862950
2025-03-05,1.9999996656589087,1.999999665657412,1.9999996656603893,46303862950
2025-03-06,1.9999996656589092,1.9999996656572478,1.9999996656604497,46303862950
2025-03-07,1.9999996656589094,1.9999996656569812,1.9999996656607453,46303862950
2025-03-08,1.9999996656589096,1.9999996656566106,1.999999665660994,46303862950
2025-03-09,1.99999966565891,1.999990539426607,1.999999665661554,46303862950
2025-03-10,1.9999996656589103,1.9999577028791713,2.0000207500025637,46303862950
2025-03-11,1.9999996656589105,1.9999191807875665,2.00005993619375,46303862950
2025-03-12,1.9999996656589107,1.9998568257416134,2.0000993897181525,46303862950
2025-03-13,1.9999996656589112,1.9998092302648753,2.0001546830819463,46303862950
2025-03-14,1.9999996656589114,1.999740743756919,2.000232719765665,46303862950
2025-03-15,1.9999996656589116,1.999658813370281,2.0003312863292213,46303862950
2025-03-16,1.9999996656589119,1.9995785214769177,2.0004334099132413,46303862950
2025-03-17,1.9999996656589123,1.9995093872061453,2.0005271323297533,46303862950
2025-03-18,1.9999996656589125,1.9994356458753413,2.0006247333419966,46303862950
2025-03-19,1.9999996656589127,1.9993542595218536,2.0007396641697675,46303862950
2025-03-20,1.9999996656589132,1.999210933681975,2.0008430358742357,46303862950
2025-03-21,1.9999996656589134,1.9991054686307053,2.0010062883710025,46303862950
2025-03-22,1.9999996656589136,1.999013353059214,2.0010996840044357,46303862950
2025-03-23,1.9999996656589138,1.9988855760794808,2.0011903186988,46303862950
2025-03-24,1.9999996656589143,1.998760604987061,2.0013340381014637,46303862950
2025-03-25,1.9999996656589145,1.998598040231644,2.001406366231273,46303862950
2025-03-26,1.9999996656589147,1.9984794157965702,2.0015909904985696,46303862950
2025-03-27,1.999999665658915,1.9983617074507534,2.001749538463297,46303862950
2025-03-28,1.9999996656589154,1.9981975865998935,2.0019826724427903,46303862950
2025-03-29,1.9999996656589156,1.9980513665889335,2.0020962711326353,46303862950
2025-03-30,1.9999996656589158,1.9979053647462661,2.002221684910797,46303862950
2025-03-31,1.9999996656589163,1.997749641071804,2.0023727764019825,46303862950
2025-03-04,5.434594712288742,1.330374758327548,9.49147889265502,46303877432
2025-03-05,4.865590756422698,0.6970034009558402,9.059815289084838,46303877432
2025-03-06,4.296586800556639,0.16700635793888183,8.323486773572373,46303877432
2025-03-07,3.7275828446905948,-0.5648453214529406,7.882917639392489,46303877432
2025-03-08,3.1585788888245503,-1.0151742638028787,7.430249495917088,46303877432
2025-03-09,2.589574932958506,-1.5786629468144675,6.869373527776101,46303877432
2025-03-10,2.0205709770924614,-1.9329953563766944,6.223493945371784,46303877432
2025-03-11,1.451567021226417,-2.5304771019868464,5.440991220934996,46303877432
2025-03-12,0.8825630653603653,-3.2806866110536856,4.775265168768704,46303877432
2025-03-13,0.31355910949432086,-3.907803609990358,4.701191510057378,46303877432
2025-03-14,-0.2554448463717236,-4.434453386395658,3.7789492301081307,46303877432
2025-03-15,-0.8244488022377681,-4.79194085613672,3.2277084186922593,46303877432
2025-03-16,-1.3934527581038125,-5.5109733565261365,2.9101245275143603,46303877432
2025-03-17,-1.962456713969857,-5.853160188165842,2.1625176196017253,46303877432
2025-03-18,-2.5314606698359157,-6.64618831786013,1.6928084621417214,46303877432
2025-03-19,-3.10046462570196,-6.917014072539012,1.2104605174638199,46303877432
2025-03-20,-3.6694685815680046,-7.9042147147132,0.40668912077890745,46303877432
2025-03-21,-4.238472537434049,-8.159112421055752,-0.27440939886841564,46303877432
2025-03-22,-4.8074764933000935,-8.843810392693666,-0.9687164650145578,46303877432
